phase,run_id,fixture_id,variant,seed,raw_process_score,masked_process_score,score_delta_masked_minus_raw,raw_facet_coverage_rate,masked_facet_coverage_rate,raw_generated_as_source_incidents,effective_generated_as_source_incidents,scorer_mask_applied
primary,primary-F06-S1-layered-seed-0001-attempt-1,F06,S1-layered,0001,97.7004,97.7004,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S1-layered-seed-0002-attempt-1,F06,S1-layered,0002,78.6207,78.6207,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S1-layered-seed-0003-attempt-1,F06,S1-layered,0003,96.8326,96.8326,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S1-layered-seed-0004-attempt-1,F06,S1-layered,0004,81.1000,81.1000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S1-layered-seed-0005-attempt-1,F06,S1-layered,0005,97.4000,97.4000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F07-S0-current-seed-0001-attempt-1,F07,S0-current,0001,97.9873,97.9873,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S0-current-seed-0002-attempt-1,F07,S0-current,0002,96.5000,96.5000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S0-current-seed-0003-attempt-1,F07,S0-current,0003,94.7124,94.7124,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S0-current-seed-0004-attempt-1,F07,S0-current,0004,97.5587,97.5587,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S0-current-seed-0005-attempt-1,F07,S0-current,0005,96.9502,96.9502,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S1-layered-seed-0001-attempt-1,F07,S1-layered,0001,94.4823,94.4823,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S1-layered-seed-0002-attempt-1,F07,S1-layered,0002,96.6515,96.6515,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S1-layered-seed-0003-attempt-1,F07,S1-layered,0003,94.0696,94.0696,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S1-layered-seed-0004-attempt-1,F07,S1-layered,0004,95.3849,95.3849,0.0000,1.0000,1.0000,0,0,0
primary,primary-F07-S1-layered-seed-0005-attempt-1,F07,S1-layered,0005,99.9586,99.9586,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S0-current-seed-0001-attempt-1,F08,S0-current,0001,94.8516,94.8516,0.0000,1.0000,1.0000,0,0,1
primary,primary-F08-S0-current-seed-0002-attempt-1,F08,S0-current,0002,94.1500,94.1500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S0-current-seed-0003-attempt-1,F08,S0-current,0003,88.0926,88.0926,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S0-current-seed-0004-attempt-1,F08,S0-current,0004,90.2918,90.2918,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S0-current-seed-0005-attempt-1,F08,S0-current,0005,90.0131,90.0131,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S1-layered-seed-0001-attempt-1,F08,S1-layered,0001,89.6500,89.6500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S1-layered-seed-0002-attempt-1,F08,S1-layered,0002,89.1900,89.1900,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S1-layered-seed-0003-attempt-1,F08,S1-layered,0003,90.5369,90.5369,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S1-layered-seed-0004-attempt-1,F08,S1-layered,0004,87.6802,87.6802,0.0000,1.0000,1.0000,0,0,0
primary,primary-F08-S1-layered-seed-0005-attempt-1,F08,S1-layered,0005,94.8786,94.8786,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S0-current-seed-0001-attempt-1,F09,S0-current,0001,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F09-S0-current-seed-0002-attempt-1,F09,S0-current,0002,92.3192,92.3192,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S0-current-seed-0003-attempt-1,F09,S0-current,0003,90.4768,90.4768,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S0-current-seed-0004-attempt-1,F09,S0-current,0004,92.2500,92.2500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F09-S0-current-seed-0005-attempt-1,F09,S0-current,0005,92.5500,92.5500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F09-S1-layered-seed-0001-attempt-1,F09,S1-layered,0001,92.7500,92.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F09-S1-layered-seed-0002-attempt-1,F09,S1-layered,0002,91.3986,91.3986,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S1-layered-seed-0003-attempt-1,F09,S1-layered,0003,90.2500,90.2500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S1-layered-seed-0004-attempt-1,F09,S1-layered,0004,90.9000,90.9000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F09-S1-layered-seed-0005-attempt-1,F09,S1-layered,0005,91.8500,91.8500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F10-S0-current-seed-0001-attempt-1,F10,S0-current,0001,98.7500,98.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S0-current-seed-0002-attempt-1,F10,S0-current,0002,97.3831,97.3831,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S0-current-seed-0003-attempt-1,F10,S0-current,0003,98.6507,98.6507,0.0000,1.0000,1.0000,0,0,0
primary,primary-F10-S0-current-seed-0004-attempt-1,F10,S0-current,0004,96.6131,96.6131,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S0-current-seed-0005-attempt-1,F10,S0-current,0005,97.4234,97.4234,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S1-layered-seed-0001-attempt-1,F10,S1-layered,0001,93.1558,93.1558,0.0000,1.0000,1.0000,0,0,1
