phase,run_id,fixture_id,fixture_class,seed,variant,status,process_score,depth,breadth,goal_preservation,investigation_discipline,narrowing_harm,hard_failure,soft_failure,failure_class,judge_id,unique_source_refs,tool_commands,facet_coverage_rate,repetition_jaccard,generated_as_source_incidents,contamination_flag,raw_process_score,raw_facet_coverage_rate,raw_generated_as_source_incidents,scorer_mask_applied,scorer_mask_score_delta
primary,primary-F02-S0-current-seed-0005-attempt-1,F02,broad-open,0005,S0-current,completed,92.8000,28.8000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,10,29,1.0000,0.2244,0,0,92.8000,1.0000,0,1,0.0000
primary,primary-F02-S1-layered-seed-0001-attempt-1,F02,broad-open,0001,S1-layered,completed,81.4335,13.2000,23.2500,30.0000,14.9835,0,0,0,,deterministic-process-scorer-v1,3,7,1.0000,0.2408,0,0,81.4335,1.0000,0,0,0.0000
primary,primary-F02-S1-layered-seed-0002-attempt-1,F02,broad-open,0002,S1-layered,completed,98.7500,30.0000,23.7500,30.0000,15.0000,0,0,0,,deterministic-process-scorer-v1,12,19,1.0000,0.1641,0,0,98.7500,1.0000,0,1,0.0000
primary,primary-F02-S1-layered-seed-0003-attempt-1,F02,broad-open,0003,S1-layered,completed,91.5500,28.8000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,11,21,1.0000,0.1782,0,0,91.5500,1.0000,0,0,0.0000
primary,primary-F02-S1-layered-seed-0004-attempt-1,F02,broad-open,0004,S1-layered,completed,91.9500,27.2000,23.7500,26.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,10,21,1.0000,0.1948,0,0,91.9500,1.0000,0,0,0.0000
primary,primary-F02-S1-layered-seed-0005-attempt-1,F02,broad-open,0005,S1-layered,completed,75.9500,13.2000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,3,7,1.0000,0.1544,0,0,75.9500,1.0000,0,0,0.0000
primary,primary-F03-S0-current-seed-0001-attempt-1,F03,broad-open,0001,S0-current,completed,91.5000,30.0000,22.5000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,14,22,1.0000,0.1999,0,0,91.5000,1.0000,0,0,0.0000
primary,primary-F03-S0-current-seed-0002-attempt-1,F03,broad-open,0002,S0-current,completed,93.0000,30.0000,24.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,12,31,1.0000,0.2114,0,0,93.0000,1.0000,0,0,0.0000
primary,primary-F03-S0-current-seed-0003-attempt-1,F03,broad-open,0003,S0-current,completed,92.7500,30.0000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,15,13,1.0000,0.2138,0,0,92.7500,1.0000,0,0,0.0000
primary,primary-F03-S0-current-seed-0004-attempt-1,F03,broad-open,0004,S0-current,completed,92.7500,30.0000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,12,28,1.0000,0.2115,0,0,92.7500,1.0000,0,1,0.0000
