block_id,effect,cell_a,cell_b,winner,metric,notes
M7,generator,G1,G0,tie,depth,diff=0.0000
M7,generator,G1,G0,tie,breadth,diff=0.0000
M7,generator,G1,G0,G1,source_groundedness,diff=0.0050
M7,generator,G1,G0,G1,overclaim_rate,diff=-0.0025
M7,generator,G1,G0,G1,unsupported_rate,diff=-0.0025
M7,generator,G1,G0,tie,unverifiable_rate,diff=0.0000
M7,generator,G1,G0,tie,provenance_completeness,diff=0.0000
M7,generator,G1,G0,tie,internal_leakage,diff=0.0000
M7,mcp_surface,M1,M0,tie,readability,diff=0.0000
M7,mcp_surface,M1,M0,tie,depth,diff=0.0000
M7,mcp_surface,M1,M0,tie,breadth,diff=0.0000
M7,mcp_surface,M1,M0,tie,source_groundedness,diff=0.0000
M7,mcp_surface,M1,M0,M1,overclaim_rate,diff=-0.0025
M7,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0025
M7,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0050
M7,mcp_surface,M1,M0,tie,provenance_completeness,diff=0.0000
M7,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M8,controller,C1,C0,tie,readability,diff=0.0000
M8,controller,C1,C0,C0,depth,diff=-0.2500
M8,controller,C1,C0,tie,breadth,diff=0.0000
M8,controller,C1,C0,C0,source_groundedness,diff=-0.0025
M8,controller,C1,C0,C0,overclaim_rate,diff=0.0100
M8,controller,C1,C0,C0,unsupported_rate,diff=0.0125
M8,controller,C1,C0,C0,unverifiable_rate,diff=0.0100
M8,controller,C1,C0,C1,provenance_completeness,diff=0.0150
M8,controller,C1,C0,tie,internal_leakage,diff=0.0000
M8,generator,G1,G0,tie,readability,diff=0.0000
M8,generator,G1,G0,G0,depth,diff=-0.2500
M8,generator,G1,G0,tie,breadth,diff=0.0000
M8,generator,G1,G0,G0,source_groundedness,diff=-0.0125
M8,generator,G1,G0,tie,overclaim_rate,diff=0.0000
M8,generator,G1,G0,G0,unsupported_rate,diff=0.0075
M8,generator,G1,G0,G1,unverifiable_rate,diff=-0.0050
M8,generator,G1,G0,G0,provenance_completeness,diff=-0.0200
M8,generator,G1,G0,tie,internal_leakage,diff=0.0000
M8,mcp_surface,M1,M0,tie,readability,diff=0.0000
M8,mcp_surface,M1,M0,M1,depth,diff=0.2500
M8,mcp_surface,M1,M0,tie,breadth,diff=0.0000
M8,mcp_surface,M1,M0,M1,source_groundedness,diff=0.0175
M8,mcp_surface,M1,M0,M1,overclaim_rate,diff=-0.0100
M8,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0225
M8,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0100
M8,mcp_surface,M1,M0,M0,provenance_completeness,diff=-0.0100
M8,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
M9,controller,C1,C0,tie,readability,diff=0.0000
M9,controller,C1,C0,C1,depth,diff=0.2500
M9,controller,C1,C0,tie,breadth,diff=0.0000
M9,controller,C1,C0,tie,source_groundedness,diff=0.0000
M9,controller,C1,C0,C1,overclaim_rate,diff=-0.0025
M9,controller,C1,C0,C1,unsupported_rate,diff=-0.0050
M9,controller,C1,C0,tie,unverifiable_rate,diff=0.0000
